entryID,name,author,material,condition,price
b341,She Started It A Novel,Sian Gilbert,Hardcover,New,$30.00
b342,Nemesis uk ed,Jo Nesbo,Not Specified,Used,$5.95
b343,Nemesis,Jo Nesbo,Not Specified,Used,$5.95
b344,Woman in Cabin 10,Ruth Ware,Paperback,Used,$9.98
b345,Eyre Affair Thursday Next 01,Jasper Fforde,Paperback,Used,$18.00
b346,Birds of a Feather: Maisie Dobbs 2,Jacqueline Winspear,Paperback,Used,$16.00
b347,The Cold Dish: Walt Longmire 1,Craig Johnson,Paperback,Used,$18.00
b348,Under the Harrow,Flynn Berry,Paperback,Used,$17.00
b349,"Tinker, Tailor, Soldier, Spy: George Smiley 5",John le Carre,Paperback,Used,$19.00
b350,Spy Who Came in from the Cold A George Smiley Novel,John Le Carre,Paperback,Used,$17.00
b351,A Delicate Truth,John le Carré,Paperback,Used,$16.00
b352,The Perfect Nanny,Leila Slimani,Paperback,Used,$17.00
b353,Name of the Rose,Umberto Eco,Paperback,Used,$15.00
b354,Club Dumas,Arturo Perez-Reverte,Paperback,Used,$16.99
b355,Lady in the Lake,Raymond Chandler,Paperback,Used,$8.98
b356,Man Who Died Twice A Thursday Murder Club Mystery,Richard Osman,Paperback,Used,$10.95
b357,The Girl with the Dragon Tattoo,Stieg Larsson,Hardcover,Used,$35.00
b358,Still Missing,Chevy Stevens,Paperback,Used,$17.99
b359,Heartsick,Chelsea Cain,Not Specified,Used,$7.99
b360,High Five,Janet Evanovich,Not Specified,Used,$10.99
b361,& Then There Were None,Agatha Christie,Not Specified,Used,$5.99
b362,One Good Turn,Kate Atkinson,Paperback,Used,$18.99
b363,The Shining Girls,Lauren Beukes,Paperback,Used,$17.99
b364,Bluebird Bluebird (Highway 59 #1),Attica Locke,Paperback,Used,$16.99
b365,23rd Midnight The Most Gripping Womens Murder Club Novel of Them All,"James Patterson, Maxine Paetro",Hardcover,New,$30.00
b366,Killer Instinct LARGE PRINT,James Patterson,Paperback,New,$30.00
b367,Lethal White (Cormoran Strike #4),Robert Galbraith,Paperback,Used,$18.99
b368,Everybody Knows,Jordan Harper,Hardcover,Used,$28.00
b369,Troubled Blood,Robert Galbraith,Hardcover,Used,$29.00
b370,Line in the Sand A Novel,Kevin Powers,Hardcover,New,$29.00
b371,Three Stations,Martin Cruz Smith,Paperback,Used,$7.95
b372,Likeness,Tana French,Paperback,Used,$8.95
b373,Broken Harbour,Tana French,Paperback,Used,$7.95
b374,Hostage,Robert Crais,Not Specified,Used,$7.99
b375,Litigators,John Grisham,Not Specified,Used,$9.99
